nohup: ignoring input
pid:  947291
Using SSIM loss,Mixing rate is:  [0, 0.5, 1]
==>Building network:
train vit net
2023-09-12 02:31:49,727 - mmseg - WARNING - The model and loaded state dict do not match exactly

unexpected key in source state_dict: cls_head.cls.weight, cls_head.cls.bias

Training model named:   vit4-7pg_cur4_all
Models and tensorboard events files are saved to:   /opt/data/private/wjy/PlaneDepth/log_err
Training is using:   cuda
change level from: -1 to: 0
Using split:
   eigen_zhou
There are 39810 training items , 697 validation items

Has Removed old log files at:   /opt/data/private/wjy/PlaneDepth/log_err/vit4-7pg_cur4_all
Loading ground truth depths... √

Starting from epoch 0 and current learning rate for depth is 5e-05 and pose lr is 0.0001
==>Training started...
epoch   4 | batch   1096 | examples/s:  13.6 | loss: 0.08468 |contrast: 0.00269 with w=0.40000 and real: 0.00673
epoch   4 | batch   1596 | examples/s:  13.6 | loss: 0.08486 |contrast: 0.00266 with w=0.40000 and real: 0.00665
epoch   4 | batch   2096 | examples/s:  13.7 | loss: 0.08505 |contrast: 0.00264 with w=0.40000 and real: 0.00659
epoch   4 | batch   2596 | examples/s:  13.7 | loss: 0.08483 |contrast: 0.00262 with w=0.40000 and real: 0.00655
epoch   4 | batch   3096 | examples/s:  13.6 | loss: 0.08478 |contrast: 0.00260 with w=0.40000 and real: 0.00651
epoch   4 | batch   3596 | examples/s:  13.6 | loss: 0.08466 |contrast: 0.00259 with w=0.40000 and real: 0.00648
epoch   4 | batch   4096 | examples/s:  13.6 | loss: 0.08451 |contrast: 0.00258 with w=0.40000 and real: 0.00645
epoch   4 | batch   4596 | examples/s:  13.6 | loss: 0.08442 |contrast: 0.00257 with w=0.40000 and real: 0.00642
epoch   5 | batch    120 | examples/s:  13.7 | loss: 0.08229 |contrast: 0.00246 with w=0.40000 and real: 0.00616
epoch   5 | batch    620 | examples/s:  12.3 | loss: 0.08213 |contrast: 0.00245 with w=0.40000 and real: 0.00614
epoch   5 | batch   1120 | examples/s:  13.7 | loss: 0.08231 |contrast: 0.00244 with w=0.40000 and real: 0.00610
epoch   5 | batch   1620 | examples/s:  13.6 | loss: 0.08235 |contrast: 0.00244 with w=0.40000 and real: 0.00610
epoch   5 | batch   2120 | examples/s:  13.6 | loss: 0.08253 |contrast: 0.00243 with w=0.40000 and real: 0.00608
epoch   5 | batch   2620 | examples/s:  13.4 | loss: 0.08236 |contrast: 0.00243 with w=0.40000 and real: 0.00608
